cidade,equipamento,existentes,emUsoSUS,emUso,existentesSUS
310100,Aparelho de Profilaxia c/ Jato de Bicarbonato,6,5,6,5
310100,Berço Aquecido,1,1,1,1
310100,Desfibrilador,1,1,1,1
310100,Incubadora,1,1,1,1
310100,Monitor de ECG,1,1,1,1
310100,Reanimador Pulmonar/AMBU,6,4,6,4
310100,Respirador/Ventilador,1,1,1,1
310100,Eletrocardiografo,1,1,1,1
310100,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,1,2,1
310100,Aparelho de Eletroestimulacao,2,1,2,1
310160,AUDIOMETRO DE DOIS CANAIS,2,2,2,2
310160,Gama Camara,2,0,1,1
310160,Mamografo com Comando Simples,4,2,4,2
310160,Raio X ate 100 mA,7,5,7,5
310160,Raio X de 100 a 500 mA,4,4,4,4
310160,Raio X mais de 500mA,2,2,2,2
310160,Raio X Dentario,16,13,16,13
310160,Raio X com Fluoroscopia,1,1,1,1
310160,Raio X para Densitometria Ossea,2,1,2,1
310160,Tomógrafo Computadorizado,5,2,5,2
310160,Ressonancia Magnetica,3,2,3,2
310160,Ultrassom Doppler Colorido,6,1,5,2
310160,Ultrassom Ecografo,5,3,5,3
310160,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,2,2,2,2
310160,MAMOGRAFO COMPUTADORIZADO,1,1,1,1
310160,Controle Ambiental/Ar-condicionado Central,5,3,5,3
310160,Grupo Gerador,3,1,3,1
310160,Usina de Oxigenio,3,1,1,1
310160,Equipo Odontologico,145,120,144,120
310160,Compressor Odontologico,17,3,16,3
310160,Fotopolimerizador,24,3,23,3
310160,Caneta de Alta Rotacao,36,6,33,6
310160,Caneta de Baixa Rotacao,26,4,26,4
310160,Amalgamador,15,3,13,3
310160,Aparelho de Profilaxia c/ Jato de Bicarbonato,20,2,20,2
310160,Bomba de Infusao,44,41,44,41
310160,Berço Aquecido,6,6,6,6
310160,Bilirrubinometro,1,1,1,1
310160,Desfibrilador,22,20,22,20
310160,Equipamento de Fototerapia,11,10,11,10
310160,Incubadora,18,18,18,18
310160,Marcapasso Temporario,3,3,3,3
310160,Monitor de ECG,30,29,30,29
310160,Monitor de Pressao Invasivo,3,2,3,2
310160,Monitor de Pressao Nao-Invasivo,30,23,29,23
310160,Reanimador Pulmonar/AMBU,65,56,64,56
310160,Respirador/Ventilador,35,32,34,32
310160,Eletrocardiografo,19,16,19,16
310160,Eletroencefalografo,2,2,2,2
310160,Endoscopio das Vias Respiratorias,4,4,4,4
310160,Endoscopio das Vias Urinarias,4,1,3,2
310160,Endoscopio Digestivo,5,4,5,4
310160,Laparoscopio/Vídeo,2,1,2,1
310160,Microscopio Cirurgico,4,2,4,2
310160,Aparelho de Diatermia por Ultrassom/Ondas Curtas,14,1,14,1
310160,Aparelho de Eletroestimulacao,19,1,19,1
310160,Bomba de Infusao de Hemoderivados,1,1,1,1
310160,Equipamentos de Aferese,1,1,1,1
310160,Equipamento de Circulacao Extracorporea,1,1,1,1
310160,Equipamento para Hemodialise,32,32,32,32
310160,Forno de Bier,1,1,1,1
310170,Mamografo com Comando Simples,1,1,1,1
310170,Raio X ate 100 mA,3,1,2,1
310170,Raio X de 100 a 500 mA,1,1,1,1
310170,Raio X mais de 500mA,1,1,1,1
310170,Ultrassom Doppler Colorido,2,1,1,2
310170,Ultrassom Ecografo,3,1,2,1
310170,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310170,Grupo Gerador,1,1,1,1
310170,Equipo Odontologico,11,8,11,8
310170,Berço Aquecido,3,2,3,2
310170,Desfibrilador,3,2,3,2
310170,Equipamento de Fototerapia,3,2,3,2
310170,Incubadora,7,6,7,6
310170,Monitor de ECG,5,3,4,4
310170,Reanimador Pulmonar/AMBU,4,3,4,3
310170,Respirador/Ventilador,2,1,2,1
310170,Eletrocardiografo,6,3,6,3
310170,Endoscopio Digestivo,6,4,5,5
310170,Laparoscopio/Vídeo,1,1,1,1
310170,Microscopio Cirurgico,2,2,2,2
310180,Equipo Odontologico,3,3,3,3
310180,Compressor Odontologico,3,3,3,3
310180,Fotopolimerizador,3,3,3,3
310180,Caneta de Alta Rotacao,3,3,3,3
310180,Caneta de Baixa Rotacao,3,3,3,3
310180,Amalgamador,3,3,3,3
310180,Aparelho de Profilaxia c/ Jato de Bicarbonato,3,3,3,3
310163,Equipo Odontologico,1,1,1,1
310163,Compressor Odontologico,1,1,1,1
310163,Fotopolimerizador,1,1,1,1
310163,Caneta de Alta Rotacao,1,1,1,1
310163,Caneta de Baixa Rotacao,1,1,1,1
310163,Amalgamador,1,1,1,1
310163,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310163,Reanimador Pulmonar/AMBU,1,1,1,1
310163,Eletrocardiografo,1,1,1,1
310150,Mamografo com Comando Simples,2,1,2,1
310150,Raio X ate 100 mA,1,1,1,1
310150,Raio X de 100 a 500 mA,3,3,3,3
310150,Raio X Dentario,10,0,9,1
310150,Tomógrafo Computadorizado,1,1,1,1
310150,Ultrassom Doppler Colorido,6,1,6,1
310150,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,2,1,2,1
310150,Grupo Gerador,1,1,1,1
310150,Equipo Odontologico,34,19,34,19
310150,Compressor Odontologico,10,4,10,4
310150,Fotopolimerizador,7,2,7,2
310150,Caneta de Alta Rotacao,13,7,13,7
310150,Caneta de Baixa Rotacao,8,5,8,5
310150,Amalgamador,5,3,5,3
310150,Aparelho de Profilaxia c/ Jato de Bicarbonato,5,1,5,1
310150,Bomba de Infusao,30,30,30,30
310150,Berço Aquecido,5,5,5,5
310150,Desfibrilador,4,4,4,4
310150,Equipamento de Fototerapia,5,5,5,5
310150,Incubadora,3,3,3,3
310150,Marcapasso Temporario,1,1,1,1
310150,Monitor de ECG,6,6,6,6
310150,Reanimador Pulmonar/AMBU,13,13,13,13
310150,Respirador/Ventilador,7,7,7,7
310150,Eletrocardiografo,5,3,5,3
310150,Endoscopio Digestivo,3,1,3,1
310150,Microscopio Cirurgico,1,1,1,1
310150,Aparelho de Diatermia por Ultrassom/Ondas Curtas,8,4,8,4
310150,Aparelho de Eletroestimulacao,20,6,20,6
310150,Forno de Bier,5,2,5,2
310190,Mamografo com Comando Simples,1,1,1,1
310190,Raio X de 100 a 500 mA,1,1,1,1
310190,Raio X Dentario,10,1,10,1
310190,Ultrassom Ecografo,1,1,1,1
310190,Ultrassom Convencional,2,2,2,2
310190,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310190,Grupo Gerador,1,1,1,1
310190,Equipo Odontologico,24,10,24,10
310190,Compressor Odontologico,8,2,8,2
310190,Fotopolimerizador,7,1,7,1
310190,Caneta de Alta Rotacao,8,2,8,2
310190,Caneta de Baixa Rotacao,8,2,8,2
310190,Amalgamador,6,2,6,2
310190,Berço Aquecido,3,3,3,3
310190,Desfibrilador,1,1,1,1
310190,Equipamento de Fototerapia,2,2,2,2
310190,Incubadora,3,3,3,3
310190,Monitor de ECG,3,3,3,3
310190,Reanimador Pulmonar/AMBU,3,3,3,3
310190,Respirador/Ventilador,1,1,1,1
310190,Eletrocardiografo,9,9,9,9
310190,Endoscopio Digestivo,1,1,1,1
310190,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,1,2,1
310190,Forno de Bier,2,1,2,1
310200,Raio X ate 100 mA,2,2,2,2
310200,Raio X de 100 a 500 mA,1,0,0,1
310200,Raio X Dentario,1,1,1,1
310200,Ultrassom Convencional,2,2,2,2
310200,Equipo Odontologico,15,8,13,8
310200,Compressor Odontologico,8,4,7,4
310200,Fotopolimerizador,9,2,7,2
310200,Caneta de Alta Rotacao,11,4,8,4
310200,Caneta de Baixa Rotacao,8,4,6,4
310200,Amalgamador,7,4,6,4
310200,Bomba de Infusao,1,0,0,1
310200,Berço Aquecido,1,1,1,1
310200,Desfibrilador,2,2,2,2
310200,Equipamento de Fototerapia,1,1,1,1
310200,Incubadora,3,3,3,3
310200,Monitor de ECG,4,4,4,4
310200,Monitor de Pressao Invasivo,1,1,1,1
310200,Reanimador Pulmonar/AMBU,6,6,6,6
310200,Respirador/Ventilador,1,1,1,1
310200,Eletrocardiografo,3,3,3,3
310200,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,1,2,1
310200,Aparelho de Eletroestimulacao,1,1,1,1
310200,Forno de Bier,2,1,2,1
315350,Equipo Odontologico,5,5,5,5
315350,Compressor Odontologico,1,1,1,1
315350,Caneta de Baixa Rotacao,1,1,1,1
315350,Monitor de Pressao Nao-Invasivo,1,1,1,1
315350,Eletrocardiografo,1,1,1,1
315350,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,2,2,2
315350,Aparelho de Eletroestimulacao,4,4,4,4
315350,Equipamentos de Aferese,1,1,1,1
315350,Forno de Bier,1,1,1,1
310210,Equipo Odontologico,6,5,6,5
310210,Compressor Odontologico,5,5,5,5
310210,Fotopolimerizador,4,4,4,4
310210,Caneta de Alta Rotacao,5,5,5,5
310210,Caneta de Baixa Rotacao,4,4,4,4
310210,Amalgamador,4,4,4,4
310210,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310210,Bomba de Infusao,1,1,1,1
310210,Berço Aquecido,1,1,1,1
310210,Desfibrilador,3,3,3,3
310210,Monitor de ECG,1,1,1,1
310210,Reanimador Pulmonar/AMBU,11,11,11,11
310210,Eletrocardiografo,1,1,1,1
310230,Raio X de 100 a 500 mA,1,1,1,1
310230,Ultrassom Convencional,1,1,1,1
310230,Grupo Gerador,1,1,1,1
310230,Equipo Odontologico,11,7,11,7
310230,Compressor Odontologico,1,1,1,1
310230,Fotopolimerizador,1,1,1,1
310230,Caneta de Alta Rotacao,1,1,1,1
310230,Caneta de Baixa Rotacao,1,1,1,1
310230,Amalgamador,1,1,1,1
310230,Berço Aquecido,1,1,1,1
310230,Desfibrilador,1,1,1,1
310230,Equipamento de Fototerapia,2,2,2,2
310230,Incubadora,2,2,2,2
310230,Monitor de Pressao Nao-Invasivo,3,2,3,2
310230,Reanimador Pulmonar/AMBU,4,4,4,4
310230,Eletrocardiografo,3,3,3,3
310230,Bomba de Infusao de Hemoderivados,2,2,2,2
310205,Raio X Dentario,1,0,0,1
310205,Controle Ambiental/Ar-condicionado Central,1,1,1,1
310205,Equipo Odontologico,3,3,3,3
310205,Compressor Odontologico,1,1,1,1
310205,Caneta de Alta Rotacao,1,1,1,1
310205,Caneta de Baixa Rotacao,1,1,1,1
310205,Amalgamador,1,1,1,1
310205,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310250,Equipo Odontologico,4,4,4,4
310205,Berço Aquecido,1,0,0,1
310205,Reanimador Pulmonar/AMBU,1,1,1,1
310205,Eletrocardiografo,1,1,1,1
310250,Compressor Odontologico,4,4,4,4
310250,Fotopolimerizador,4,4,4,4
310250,Caneta de Alta Rotacao,4,4,4,4
310250,Caneta de Baixa Rotacao,4,4,4,4
310250,Amalgamador,2,2,2,2
310250,Aparelho de Profilaxia c/ Jato de Bicarbonato,2,2,2,2
310250,Eletrocardiografo,1,1,1,1
310240,Raio X Dentario,1,1,1,1
310240,Ultrassom Doppler Colorido,1,1,1,1
310240,Ultrassom Convencional,1,1,1,1
310240,Equipo Odontologico,7,7,7,7
310240,Compressor Odontologico,6,6,6,6
310240,Fotopolimerizador,5,5,5,5
310240,Caneta de Alta Rotacao,5,5,5,5
310240,Caneta de Baixa Rotacao,5,5,5,5
310240,Amalgamador,5,5,5,5
310240,Aparelho de Profilaxia c/ Jato de Bicarbonato,2,2,2,2
310240,Monitor de Pressao Nao-Invasivo,4,4,4,4
310240,Eletrocardiografo,1,1,1,1
310220,Raio X Dentario,1,1,1,1
310220,Ultrassom Convencional,1,1,1,1
310220,Equipo Odontologico,1,1,1,1
310220,Compressor Odontologico,2,2,2,2
310220,Fotopolimerizador,2,2,2,2
310220,Caneta de Alta Rotacao,2,2,2,2
310220,Caneta de Baixa Rotacao,2,2,2,2
310220,Amalgamador,2,2,2,2
310220,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310220,Desfibrilador,1,1,1,1
310220,Monitor de ECG,1,1,1,1
310260,EMISSOES OTOACUSTICAS EVOCADAS TRANSIENTES,1,1,1,1
310260,EMISSOES OTOACUSTICAS EVOCADAS POR PRODUTO DE DISTORCAO,1,1,1,1
310260,AUDIOMETRO DE UM CANAL,1,1,1,1
310260,IMITANCIOMETRO MULTIFREQUENCIAL,1,1,1,1
310260,CABINE ACUSTICA,2,1,2,1
310260,Mamografo com Estereotaxia,1,1,1,1
310260,Raio X de 100 a 500 mA,1,1,1,1
310260,Raio X mais de 500mA,2,2,2,2
310260,Raio X Dentario,16,1,15,1
310260,Ultrassom Doppler Colorido,2,1,2,1
310260,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310260,Controle Ambiental/Ar-condicionado Central,12,6,11,6
310260,Grupo Gerador,2,2,2,2
310260,Usina de Oxigenio,5,3,5,3
310260,Equipo Odontologico,25,8,25,8
310260,Compressor Odontologico,19,6,19,6
310260,Fotopolimerizador,22,6,21,6
310260,Caneta de Alta Rotacao,41,8,38,8
310260,Caneta de Baixa Rotacao,26,7,26,7
310260,Amalgamador,18,6,17,6
310260,Bomba de Infusao,4,4,4,4
310260,Berço Aquecido,3,3,3,3
310260,Desfibrilador,10,7,9,8
310260,Equipamento de Fototerapia,3,3,3,3
310260,Incubadora,6,6,6,6
310260,Monitor de ECG,7,6,7,6
310260,Monitor de Pressao Nao-Invasivo,41,14,41,14
310260,Reanimador Pulmonar/AMBU,22,21,22,21
310260,Respirador/Ventilador,6,4,4,6
310260,Eletrocardiografo,7,4,6,5
310260,Eletroencefalografo,1,1,1,1
310260,Microscopio Cirurgico,3,2,3,2
310260,Aparelho de Diatermia por Ultrassom/Ondas Curtas,5,1,5,1
310260,Aparelho de Eletroestimulacao,4,1,4,1
310260,Forno de Bier,2,1,2,1
310320,Raio X ate 100 mA,1,0,0,1
310320,Equipo Odontologico,1,1,1,1
310320,Reanimador Pulmonar/AMBU,2,2,2,2
310320,Eletrocardiografo,1,1,1,1
310285,Ultrassom Convencional,1,1,1,1
310285,Equipo Odontologico,4,4,4,4
310285,Compressor Odontologico,4,4,4,4
310285,Fotopolimerizador,2,2,2,2
310285,Caneta de Alta Rotacao,3,3,3,3
310285,Caneta de Baixa Rotacao,4,4,4,4
310285,Amalgamador,2,2,2,2
310285,Aparelho de Profilaxia c/ Jato de Bicarbonato,2,2,2,2
310285,Monitor de Pressao Invasivo,1,1,1,1
310285,Monitor de Pressao Nao-Invasivo,2,2,2,2
310285,Eletrocardiografo,1,1,1,1
310280,Raio X ate 100 mA,2,0,1,1
310280,Raio X mais de 500mA,1,1,1,1
310280,Ultrassom Convencional,1,1,1,1
310280,Grupo Gerador,2,1,2,1
310280,Equipo Odontologico,5,4,5,4
310280,Compressor Odontologico,2,2,2,2
310280,Fotopolimerizador,2,2,2,2
310280,Caneta de Alta Rotacao,2,2,2,2
310280,Caneta de Baixa Rotacao,2,2,2,2
310280,Amalgamador,2,2,2,2
310280,Bomba de Infusao,3,2,3,2
310280,Berço Aquecido,4,3,4,3
310280,Desfibrilador,6,3,4,5
310280,Equipamento de Fototerapia,3,2,3,2
310280,Incubadora,3,2,3,2
310280,Monitor de ECG,3,2,3,2
310280,Monitor de Pressao Nao-Invasivo,12,10,12,10
310280,Reanimador Pulmonar/AMBU,17,11,14,14
310280,Respirador/Ventilador,5,3,5,3
310280,Eletrocardiografo,6,4,5,5
310280,Eletroencefalografo,2,1,2,1
310280,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,1,2,1
310280,Forno de Bier,1,1,1,1
310290,Raio X de 100 a 500 mA,1,1,1,1
310290,Ultrassom Doppler Colorido,1,1,1,1
310290,Equipo Odontologico,6,6,6,6
310290,Desfibrilador,1,1,1,1
310290,Reanimador Pulmonar/AMBU,6,6,6,6
310290,Eletrocardiografo,1,1,1,1
310290,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
310290,Aparelho de Eletroestimulacao,3,3,3,3
310330,Equipo Odontologico,1,1,1,1
310330,Compressor Odontologico,1,1,1,1
310330,Fotopolimerizador,1,1,1,1
310330,Caneta de Alta Rotacao,1,1,1,1
310330,Caneta de Baixa Rotacao,1,1,1,1
310330,Amalgamador,1,1,1,1
310330,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
310330,Desfibrilador,1,1,1,1
310330,Eletrocardiografo,1,1,1,1
310330,Aparelho de Diatermia por Ultrassom/Ondas Curtas,4,4,4,4
310330,Aparelho de Eletroestimulacao,4,4,4,4
310300,Equipo Odontologico,10,8,9,9
310300,Compressor Odontologico,6,5,6,5
310300,Fotopolimerizador,6,5,6,5
310300,Caneta de Alta Rotacao,9,5,9,5
310300,Caneta de Baixa Rotacao,5,3,5,3
310300,Amalgamador,4,4,4,4
310300,Aparelho de Profilaxia c/ Jato de Bicarbonato,3,2,3,2
310300,Reanimador Pulmonar/AMBU,3,3,3,3
310300,Eletrocardiografo,1,1,1,1
310310,Equipo Odontologico,3,3,3,3
310310,Eletrocardiografo,1,1,1,1
310340,EMISSOES OTOACUSTICAS EVOCADAS TRANSIENTES,1,1,1,1
310340,EMISSOES OTOACUSTICAS EVOCADAS POR PRODUTO DE DISTORCAO,1,1,1,1
310340,AUDIOMETRO DE DOIS CANAIS,1,1,1,1
310340,IMITANCIOMETRO,1,1,1,1
310340,IMITANCIOMETRO MULTIFREQUENCIAL,1,1,1,1
310340,CABINE ACUSTICA,1,1,1,1
310340,Mamografo com Estereotaxia,1,1,1,1
310340,Raio X ate 100 mA,2,2,2,2
310340,Raio X de 100 a 500 mA,3,3,3,3
310340,Raio X mais de 500mA,1,1,1,1
310340,Raio X Dentario,10,0,9,1
310340,Ultrassom Doppler Colorido,4,3,4,3
310340,Ultrassom Ecografo,4,3,4,3
310340,Ultrassom Convencional,2,2,2,2
310340,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
310340,Grupo Gerador,1,1,1,1
310340,Equipo Odontologico,22,10,22,10
310340,Bomba de Infusao,2,2,2,2
310340,Berço Aquecido,3,3,3,3
310340,Desfibrilador,5,4,5,4
310340,Equipamento de Fototerapia,3,3,3,3
310340,Incubadora,6,4,4,6
310340,Monitor de ECG,3,3,3,3
310340,Monitor de Pressao Nao-Invasivo,2,1,2,1
310340,Reanimador Pulmonar/AMBU,19,18,19,18
310340,Respirador/Ventilador,1,1,1,1
310340,Eletrocardiografo,6,4,6,4
310340,Eletroencefalografo,2,2,2,2
310340,Endoscopio das Vias Respiratorias,1,1,1,1
310340,Endoscopio das Vias Urinarias,1,1,1,1
