cidade,equipamento,existentes,emUso,existentesSUS,emUsoSUS
210043,Grupo Gerador,1,1,1,1
210043,Usina de Oxigenio,1,1,1,1
210043,Equipo Odontologico,4,4,4,4
210043,Compressor Odontologico,4,4,4,4
210043,Fotopolimerizador,4,4,4,4
210043,Caneta de Alta Rotacao,4,4,4,4
210043,Caneta de Baixa Rotacao,4,4,4,4
210043,Amalgamador,4,4,4,4
210043,Bomba de Infusao,8,8,8,8
210043,Berço Aquecido,4,4,4,4
210043,Desfibrilador,2,2,2,2
210043,Incubadora,2,2,2,2
210043,Monitor de ECG,1,1,1,1
210043,Monitor de Pressao Nao-Invasivo,6,6,6,6
210043,Reanimador Pulmonar/AMBU,8,8,8,8
210043,Respirador/Ventilador,3,3,3,3
210043,Eletrocardiografo,1,1,1,1
210070,Raio X ate 100 mA,1,1,1,1
210070,Raio X Dentario,1,1,1,1
210070,Ultrassom Convencional,2,2,2,2
210070,Controle Ambiental/Ar-condicionado Central,21,20,21,20
210070,Equipo Odontologico,10,10,10,10
210070,Eletrocardiografo,1,1,1,1
210125,Raio X de 100 a 500 mA,1,1,1,1
210125,Ultrassom Ecografo,1,1,1,1
210125,Equipo Odontologico,8,8,8,8
210125,Compressor Odontologico,3,3,3,3
210125,Fotopolimerizador,1,1,1,1
210125,Caneta de Alta Rotacao,2,2,2,2
210125,Caneta de Baixa Rotacao,2,2,2,2
210125,Amalgamador,2,2,2,2
210125,Eletrocardiografo,1,1,1,1
210083,Raio X ate 100 mA,1,1,1,1
210083,Ultrassom Convencional,2,2,2,2
210083,Grupo Gerador,1,1,1,1
210083,Equipo Odontologico,7,7,7,7
210083,Desfibrilador,1,1,1,1
210083,Monitor de ECG,1,1,1,1
210083,Monitor de Pressao Nao-Invasivo,2,2,2,2
210083,Eletrocardiografo,2,2,2,2
210095,Raio X mais de 500mA,1,1,1,1
210095,Ultrassom Convencional,1,1,1,1
210095,Equipo Odontologico,5,5,5,5
210110,Ultrassom Convencional,1,1,1,1
210110,Equipo Odontologico,5,5,5,5
210110,Reanimador Pulmonar/AMBU,1,1,1,1
210135,Equipo Odontologico,2,2,2,2
210087,Raio X ate 100 mA,1,1,1,1
210087,Ultrassom Convencional,1,1,1,1
210087,Grupo Gerador,1,1,1,1
210087,Equipo Odontologico,5,5,5,5
210087,Compressor Odontologico,5,5,5,5
210087,Caneta de Alta Rotacao,5,5,5,5
210087,Reanimador Pulmonar/AMBU,2,2,2,2
210087,Eletrocardiografo,1,1,1,1
210130,Raio X de 100 a 500 mA,1,1,1,1
210130,Ultrassom Convencional,1,1,1,1
210130,Equipo Odontologico,7,7,7,7
210130,Compressor Odontologico,7,7,7,7
210130,Fotopolimerizador,7,7,7,7
210130,Caneta de Alta Rotacao,7,7,7,7
210130,Caneta de Baixa Rotacao,7,7,7,7
210130,Amalgamador,8,8,8,8
210130,Desfibrilador,1,1,1,1
210130,Incubadora,1,1,1,1
210130,Eletrocardiografo,1,1,1,1
210100,Raio X ate 100 mA,1,1,1,1
210100,Raio X Dentario,2,2,2,2
210100,Ultrassom Convencional,1,1,1,1
210100,Grupo Gerador,2,2,1,1
210100,Equipo Odontologico,9,9,9,9
210100,Compressor Odontologico,7,7,7,7
210100,Fotopolimerizador,7,7,7,7
210100,Caneta de Alta Rotacao,7,7,7,7
210100,Caneta de Baixa Rotacao,7,7,7,7
210100,Amalgamador,7,7,7,7
210100,Reanimador Pulmonar/AMBU,7,7,6,6
210100,Eletrocardiografo,2,2,1,1
210090,Grupo Gerador,1,1,1,1
210090,Equipo Odontologico,7,7,6,6
210090,Compressor Odontologico,2,2,1,1
210090,Fotopolimerizador,1,1,1,1
210090,Caneta de Alta Rotacao,1,1,1,1
210090,Caneta de Baixa Rotacao,1,1,1,1
210090,Desfibrilador,2,2,2,2
210090,Monitor de ECG,1,1,1,1
210090,Reanimador Pulmonar/AMBU,2,2,2,2
210090,Respirador/Ventilador,1,1,1,1
210090,Eletrocardiografo,1,1,1,1
210090,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
210090,Aparelho de Eletroestimulacao,1,1,1,1
210180,Raio X ate 100 mA,1,1,1,1
210180,Ultrassom Convencional,1,1,1,1
210180,Grupo Gerador,1,1,1,1
210180,Equipo Odontologico,2,2,2,2
210180,Berço Aquecido,1,1,1,1
210180,Desfibrilador,1,1,1,1
210180,Reanimador Pulmonar/AMBU,5,5,5,5
210180,Eletrocardiografo,1,1,1,1
210120,AUDIOMETRO DE DOIS CANAIS,1,1,1,1
210120,CABINE ACUSTICA,1,1,1,1
210120,Mamografo com Comando Simples,1,1,1,1
210120,Mamografo com Estereotaxia,2,1,1,1
210120,Raio X de 100 a 500 mA,3,3,2,2
210120,Raio X Dentario,4,4,3,3
210120,Raio X para Densitometria Ossea,1,1,1,1
210120,Tomógrafo Computadorizado,2,2,2,2
210120,Ultrassom Doppler Colorido,3,3,2,2
210120,Ultrassom Ecografo,2,2,2,2
210120,Ultrassom Convencional,3,3,3,3
210120,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,3,2,2,2
210120,Controle Ambiental/Ar-condicionado Central,94,94,93,93
210120,Grupo Gerador,5,5,5,5
210120,Usina de Oxigenio,1,1,1,1
210120,Equipo Odontologico,45,45,42,42
210120,Compressor Odontologico,6,6,5,5
210120,Fotopolimerizador,6,6,5,5
210120,Caneta de Alta Rotacao,8,8,7,7
210120,Caneta de Baixa Rotacao,7,7,6,6
210120,Amalgamador,3,3,3,3
210120,Bomba/Balao Intra-Aortico,2,2,2,2
210120,Bomba de Infusao,1,1,1,1
210120,Berço Aquecido,5,5,5,5
210120,Desfibrilador,17,17,17,17
210120,Equipamento de Fototerapia,2,2,2,2
210120,Incubadora,8,8,8,8
210120,Monitor de ECG,7,7,7,7
210120,Monitor de Pressao Invasivo,1,1,1,1
210120,Monitor de Pressao Nao-Invasivo,18,18,18,18
210120,Reanimador Pulmonar/AMBU,10,10,10,10
210120,Respirador/Ventilador,3,3,3,3
210120,Eletrocardiografo,6,6,5,5
210120,Eletroencefalografo,3,3,3,3
210120,Endoscopio das Vias Respiratorias,1,1,1,1
210120,Endoscopio Digestivo,2,2,1,1
210120,Microscopio Cirurgico,2,2,2,2
210120,CADEIRA OFTALMOLOGICA,3,3,3,3
210120,COLUNA OFTALMOLOGICA,3,3,3,3
210120,REFRATOR,3,3,3,3
210120,LENSOMETRO,3,3,3,3
210120,PROJETOR OU TABELA DE OPTOTIPOS,3,3,3,3
210120,RETINOSCOPIO,3,3,3,3
210120,OFTALMOSCOPIO,3,3,3,3
210120,CERATOMETRO,3,3,3,3
210120,TONOMETRO DE APLANACAO,3,3,3,3
210120,BIOMICROSCOPIO (LAMPADA DE FENDA),3,3,3,3
210120,CAMPIMETRO,1,1,1,1
210120,Aparelho de Diatermia por Ultrassom/Ondas Curtas,4,4,4,4
210120,Aparelho de Eletroestimulacao,3,3,3,3
210120,Equipamentos de Aferese,1,1,1,1
210120,Equipamento para Hemodialise,44,44,44,44
210120,Forno de Bier,2,2,2,2
210173,Equipo Odontologico,3,3,3,3
210173,Compressor Odontologico,2,2,2,2
210173,Fotopolimerizador,2,2,2,2
210173,Caneta de Alta Rotacao,2,2,2,2
210173,Caneta de Baixa Rotacao,2,2,2,2
210150,Equipo Odontologico,7,7,7,7
210150,Compressor Odontologico,2,2,2,2
210150,Fotopolimerizador,1,1,1,1
210150,Caneta de Alta Rotacao,2,2,2,2
210150,Caneta de Baixa Rotacao,1,1,1,1
210150,Amalgamador,2,2,2,2
210150,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
210150,Berço Aquecido,1,1,1,1
210150,Incubadora,1,1,1,1
210160,Raio X de 100 a 500 mA,1,1,1,1
210160,Raio X mais de 500mA,1,1,1,1
210160,Raio X Dentario,2,2,1,1
210160,Ultrassom Ecografo,3,3,1,1
210160,Controle Ambiental/Ar-condicionado Central,10,10,7,7
210160,Grupo Gerador,2,2,2,2
210160,Equipo Odontologico,18,18,9,9
210160,Compressor Odontologico,13,13,8,8
210160,Fotopolimerizador,16,16,8,8
210160,Caneta de Alta Rotacao,16,16,8,8
210160,Caneta de Baixa Rotacao,16,16,8,8
210160,Amalgamador,11,11,8,8
210160,Aparelho de Profilaxia c/ Jato de Bicarbonato,16,16,8,8
210160,Bomba de Infusao,6,6,6,6
210160,Berço Aquecido,4,4,4,4
210160,Bilirrubinometro,3,3,3,3
210160,Desfibrilador,7,7,7,7
210160,Equipamento de Fototerapia,4,4,4,4
210160,Incubadora,6,6,6,6
210160,Monitor de ECG,3,3,3,3
210160,Monitor de Pressao Nao-Invasivo,5,5,4,4
210160,Reanimador Pulmonar/AMBU,15,15,15,15
210160,Respirador/Ventilador,5,5,5,5
210160,Eletrocardiografo,4,4,4,4
210160,Endoscopio Digestivo,1,1,1,1
210160,Aparelho de Diatermia por Ultrassom/Ondas Curtas,3,3,2,2
210160,Aparelho de Eletroestimulacao,2,2,1,1
210160,Forno de Bier,1,1,1,1
210190,Raio X ate 100 mA,1,0,1,0
210190,Grupo Gerador,1,1,1,1
210190,Equipo Odontologico,2,2,2,2
210190,Desfibrilador,1,1,1,1
210190,Reanimador Pulmonar/AMBU,5,5,5,5
210190,Eletrocardiografo,1,1,1,1
210177,Raio X ate 100 mA,1,1,1,1
210177,Ultrassom Convencional,2,2,2,2
210177,Grupo Gerador,1,1,1,1
210177,Usina de Oxigenio,3,3,3,3
210177,Equipo Odontologico,7,7,7,7
210177,Compressor Odontologico,4,4,4,4
210177,Fotopolimerizador,4,4,4,4
210177,Caneta de Alta Rotacao,4,4,4,4
210177,Caneta de Baixa Rotacao,3,3,3,3
210177,Amalgamador,4,4,4,4
210177,Berço Aquecido,4,4,4,4
210177,Desfibrilador,1,1,1,1
210177,Monitor de Pressao Invasivo,1,1,1,1
210177,Monitor de Pressao Nao-Invasivo,8,8,8,8
210177,Reanimador Pulmonar/AMBU,3,3,3,3
210177,Eletrocardiografo,1,1,1,1
210177,Equipamentos para Optometria,2,2,2,2
210140,EMISSOES OTOACUSTICAS EVOCADAS TRANSIENTES,1,1,1,1
210140,AUDIOMETRO DE DOIS CANAIS,1,1,1,1
210140,CABINE ACUSTICA,1,1,1,1
210140,Mamografo com Estereotaxia,1,1,1,1
210140,Raio X ate 100 mA,4,4,4,4
210140,Raio X de 100 a 500 mA,3,3,3,3
210140,Raio X mais de 500mA,1,1,1,1
210140,Raio X Dentario,1,1,1,1
210140,Tomógrafo Computadorizado,2,2,2,2
210140,Ultrassom Doppler Colorido,1,1,1,1
210140,Ultrassom Ecografo,6,6,6,6
210140,Ultrassom Convencional,6,6,5,5
210140,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
210140,Controle Ambiental/Ar-condicionado Central,131,131,106,106
210140,Grupo Gerador,4,4,4,4
210140,Usina de Oxigenio,1,1,1,1
210140,Equipo Odontologico,25,25,18,18
210140,Caneta de Baixa Rotacao,5,5,1,1
210140,Berço Aquecido,2,2,2,2
210140,Desfibrilador,4,4,4,4
210140,Equipamento de Fototerapia,4,4,4,4
210140,Incubadora,2,2,2,2
210140,Monitor de ECG,4,4,4,4
210140,Monitor de Pressao Invasivo,2,2,2,2
210140,Monitor de Pressao Nao-Invasivo,2,2,2,2
210140,Reanimador Pulmonar/AMBU,4,4,4,4
210140,Respirador/Ventilador,3,3,3,3
210140,Eletrocardiografo,9,9,9,9
210140,Eletroencefalografo,2,2,2,2
210140,Endoscopio Digestivo,2,2,2,2
210140,Laparoscopio/Vídeo,2,2,1,1
210140,Aparelho de Diatermia por Ultrassom/Ondas Curtas,19,19,18,18
210140,Aparelho de Eletroestimulacao,36,36,36,36
210140,Forno de Bier,2,2,2,2
210170,Raio X de 100 a 500 mA,2,2,2,2
210170,Raio X mais de 500mA,1,1,1,1
210170,Ultrassom Doppler Colorido,1,1,1,1
210170,Ultrassom Convencional,2,2,2,2
210170,Grupo Gerador,1,1,1,1
210170,Usina de Oxigenio,1,1,1,1
210170,Equipo Odontologico,13,13,13,13
210170,Bomba de Infusao,10,10,10,10
210170,Berço Aquecido,2,2,2,2
210170,Desfibrilador,4,4,4,4
210170,Equipamento de Fototerapia,3,3,3,3
210170,Incubadora,1,1,1,1
210170,Monitor de ECG,9,9,9,9
210170,Monitor de Pressao Invasivo,3,3,3,3
210170,Reanimador Pulmonar/AMBU,2,2,2,2
210170,Respirador/Ventilador,3,3,3,3
210170,Eletrocardiografo,2,2,2,2
210170,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,2,2,2
210170,Aparelho de Eletroestimulacao,2,2,2,2
210203,Ultrassom Convencional,1,1,1,1
210203,Equipo Odontologico,5,5,5,5
210203,Compressor Odontologico,5,5,5,5
210203,Fotopolimerizador,5,5,5,5
210203,Caneta de Alta Rotacao,5,5,5,5
210203,Caneta de Baixa Rotacao,1,1,1,1
210203,Amalgamador,1,1,1,1
210203,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
210203,Aparelho de Diatermia por Ultrassom/Ondas Curtas,2,2,2,2
210203,Aparelho de Eletroestimulacao,1,1,1,1
210215,Equipo Odontologico,4,4,4,4
210215,Eletrocardiografo,1,1,1,1
210207,Ultrassom Convencional,1,1,1,1
210207,Equipo Odontologico,8,8,8,8
210197,Raio X ate 100 mA,1,1,1,1
210197,Grupo Gerador,1,1,1,1
210197,Equipo Odontologico,3,3,3,3
210197,Desfibrilador,1,1,1,1
210197,Monitor de Pressao Nao-Invasivo,5,5,5,5
210197,Reanimador Pulmonar/AMBU,3,3,3,3
210197,Eletrocardiografo,1,1,1,1
210193,Raio X ate 100 mA,1,1,1,1
210193,Ultrassom Convencional,2,2,2,2
210193,Grupo Gerador,1,1,1,1
210193,Equipo Odontologico,4,4,4,4
210193,Compressor Odontologico,1,1,1,1
210193,Fotopolimerizador,1,1,1,1
210193,Caneta de Alta Rotacao,1,1,1,1
210193,Caneta de Baixa Rotacao,2,2,2,2
210193,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
210193,Desfibrilador,1,1,1,1
210193,Monitor de Pressao Nao-Invasivo,1,1,1,1
210193,Reanimador Pulmonar/AMBU,4,4,4,4
210193,Respirador/Ventilador,2,2,2,2
210193,Eletrocardiografo,1,1,1,1
210193,Endoscopio Digestivo,1,1,1,1
210220,Raio X ate 100 mA,2,2,2,2
210220,Ultrassom Convencional,1,1,1,1
210220,Grupo Gerador,1,1,1,1
210220,Equipo Odontologico,3,3,3,3
210230,Equipo Odontologico,1,1,1,1
210230,Incubadora,1,1,1,1
210230,Reanimador Pulmonar/AMBU,2,2,2,2
210200,Raio X de 100 a 500 mA,1,1,1,1
210200,Ultrassom Convencional,2,2,2,2
210200,Equipo Odontologico,11,11,11,11
210200,Berço Aquecido,1,1,1,1
210200,Eletrocardiografo,1,1,1,1
210200,Endoscopio Digestivo,1,1,1,1
210210,Raio X ate 100 mA,1,1,1,1
210210,Ultrassom Ecografo,3,3,3,3
210210,Equipo Odontologico,3,3,3,3
210210,Eletrocardiografo,2,2,2,2
210232,Raio X ate 100 mA,1,1,1,1
210232,Ultrassom Convencional,2,2,1,1
210232,Controle Ambiental/Ar-condicionado Central,8,8,6,6
210232,Grupo Gerador,1,1,1,1
210232,Equipo Odontologico,11,11,10,10
210232,Compressor Odontologico,3,3,2,2
210232,Fotopolimerizador,2,2,1,1
210232,Caneta de Alta Rotacao,2,2,1,1
210232,Berço Aquecido,1,1,1,1
210232,Desfibrilador,4,4,4,4
210232,Incubadora,1,1,1,1
210232,Monitor de ECG,1,1,1,1
210232,Reanimador Pulmonar/AMBU,2,2,2,2
210232,Respirador/Ventilador,3,3,3,3
210232,Eletrocardiografo,1,1,1,1
210232,Endoscopio Digestivo,1,1,1,1
210232,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
210232,Aparelho de Eletroestimulacao,2,2,2,2
210235,Ultrassom Convencional,1,1,1,1
210235,Equipo Odontologico,3,3,3,3
210237,Raio X Dentario,1,1,1,1
210237,Ultrassom Convencional,1,1,1,1
210237,Equipo Odontologico,4,4,4,4
210237,Compressor Odontologico,1,1,1,1
210237,Fotopolimerizador,1,1,1,1
210237,Caneta de Baixa Rotacao,1,1,1,1
210237,Amalgamador,1,1,1,1
210237,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
210237,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
210237,Aparelho de Eletroestimulacao,1,1,1,1
210240,Raio X de 100 a 500 mA,1,0,1,0
210240,Ultrassom Convencional,1,0,1,0
210240,Grupo Gerador,1,1,1,1
210240,Equipo Odontologico,1,1,1,1
210240,Respirador/Ventilador,1,1,1,1
210240,Eletrocardiografo,1,1,1,1
210250,Raio X ate 100 mA,1,1,1,1
210250,Raio X Dentario,1,1,1,1
210250,Equipo Odontologico,5,5,5,5
210250,Incubadora,1,1,1,1
210250,Reanimador Pulmonar/AMBU,2,2,2,2
210255,Raio X de 100 a 500 mA,1,1,1,1
210255,Ultrassom Convencional,1,1,1,1
210255,Grupo Gerador,1,1,1,1
210255,Equipo Odontologico,3,3,3,3
210255,Eletrocardiografo,2,2,2,2
210255,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
210255,Aparelho de Eletroestimulacao,1,1,1,1
210260,Raio X de 100 a 500 mA,1,1,1,1
210260,Ultrassom Convencional,1,1,1,1
210260,Grupo Gerador,1,1,1,1
210260,Equipo Odontologico,9,9,9,9
210260,Eletrocardiografo,1,1,1,1
210270,Raio X mais de 500mA,1,1,1,1
210270,Raio X Dentario,1,1,1,1
210270,Ultrassom Ecografo,1,1,1,1
210270,Grupo Gerador,1,1,1,1
210270,Equipo Odontologico,7,7,7,7
210270,Compressor Odontologico,3,3,3,3
210270,Fotopolimerizador,3,3,3,3
210270,Caneta de Alta Rotacao,3,3,3,3
210270,Caneta de Baixa Rotacao,3,3,3,3
210270,Amalgamador,3,3,3,3
210270,Incubadora,1,1,1,1
210270,Reanimador Pulmonar/AMBU,2,2,2,2
210270,Eletrocardiografo,1,1,1,1
210275,Equipo Odontologico,7,7,7,7
210275,Compressor Odontologico,7,7,7,7
210275,Fotopolimerizador,7,7,7,7
210275,Caneta de Alta Rotacao,3,3,3,3
210275,Caneta de Baixa Rotacao,7,7,7,7
210275,Amalgamador,7,7,7,7
210275,Reanimador Pulmonar/AMBU,1,1,1,1
210280,Raio X de 100 a 500 mA,1,1,1,1
210280,Ultrassom Ecografo,1,1,1,1
210280,Grupo Gerador,2,2,2,2
210280,Equipo Odontologico,8,8,8,8
210280,Compressor Odontologico,8,8,8,8
210280,Fotopolimerizador,8,8,8,8
210280,Caneta de Alta Rotacao,8,8,8,8
210280,Caneta de Baixa Rotacao,8,8,8,8
210280,Amalgamador,8,8,8,8
210280,Aparelho de Profilaxia c/ Jato de Bicarbonato,8,8,8,8
210280,Desfibrilador,1,1,1,1
210280,Equipamento de Fototerapia,1,1,1,1
210280,Incubadora,1,1,1,1
210280,Monitor de ECG,1,1,1,1
210280,Monitor de Pressao Invasivo,1,1,1,1
210280,Monitor de Pressao Nao-Invasivo,2,2,2,2
210280,Reanimador Pulmonar/AMBU,1,1,1,1
210280,Respirador/Ventilador,1,1,1,1
210280,Eletrocardiografo,1,1,1,1
210280,Aparelho de Diatermia por Ultrassom/Ondas Curtas,1,1,1,1
210280,Aparelho de Eletroestimulacao,1,1,1,1
210310,Equipo Odontologico,5,5,5,5
210310,Compressor Odontologico,1,1,1,1
210310,Caneta de Baixa Rotacao,1,1,1,1
210310,Amalgamador,1,1,1,1
210310,Reanimador Pulmonar/AMBU,2,2,2,2
210310,Respirador/Ventilador,2,2,2,2
210315,Equipo Odontologico,2,2,2,2
210315,Compressor Odontologico,1,1,1,1
210315,Fotopolimerizador,1,1,1,1
210315,Caneta de Alta Rotacao,1,1,1,1
210315,Caneta de Baixa Rotacao,1,1,1,1
210315,Amalgamador,1,1,1,1
210315,Aparelho de Profilaxia c/ Jato de Bicarbonato,1,1,1,1
210315,Eletrocardiografo,1,1,1,1
210317,Equipo Odontologico,3,3,3,3
210317,Compressor Odontologico,3,3,3,3
210317,Fotopolimerizador,2,2,2,2
210317,Caneta de Alta Rotacao,3,3,3,3
210317,Caneta de Baixa Rotacao,3,3,3,3
210317,Amalgamador,3,3,3,3
210317,Aparelho de Profilaxia c/ Jato de Bicarbonato,3,3,3,3
210317,Eletrocardiografo,1,1,1,1
210312,Ultrassom Convencional,1,1,1,1
210312,Equipo Odontologico,3,3,3,3
210312,Reanimador Pulmonar/AMBU,1,1,1,1
210325,Controle Ambiental/Ar-condicionado Central,5,5,5,5
210325,Equipo Odontologico,4,4,4,4
210325,Bomba/Balao Intra-Aortico,2,2,2,2
210325,Desfibrilador,2,2,2,2
210325,Incubadora,2,2,2,2
210325,Monitor de ECG,2,2,2,2
210325,Reanimador Pulmonar/AMBU,2,2,2,2
210330,Mamografo com Comando Simples,1,1,1,1
210330,Raio X ate 100 mA,7,6,7,6
210330,Raio X de 100 a 500 mA,2,2,2,2
210330,Raio X mais de 500mA,1,1,1,1
210330,Raio X Dentario,6,5,5,4
210330,Raio X para Densitometria Ossea,1,1,1,1
210330,Tomógrafo Computadorizado,1,1,1,1
210330,Ultrassom Doppler Colorido,1,1,1,1
210330,Ultrassom Ecografo,4,4,4,4
210330,PROCESSADORA DE FILME EXCLUSIVA PARA MAMOGRAFIA,1,1,1,1
210330,Controle Ambiental/Ar-condicionado Central,3,3,3,3
210330,Grupo Gerador,3,3,3,3
210330,Usina de Oxigenio,2,2,2,2
210330,Equipo Odontologico,42,42,41,41
210330,Compressor Odontologico,22,22,22,22
210330,Fotopolimerizador,19,19,19,19
210330,Caneta de Alta Rotacao,22,22,22,22
210330,Caneta de Baixa Rotacao,2,2,2,2
